Experiment,Group,Subject,TrialType,Kind,Object,Rating
2,CB,CB7,Color,ArtifactFC,police uniform,7
2,CB,CB7,Color,ArtifactFC,dollar bill,7
2,CB,CB7,Color,ArtifactFC,tennis ball,7
2,CB,CB7,Color,ArtifactFC,chalkboard,7
2,CB,CB7,Color,ArtifactNFC,toilet,7
2,CB,CB7,Color,ArtifactFC,street sign,6
2,CB,CB7,Color,ArtifactNFC,pants,3
2,CB,CB7,Color,ArtifactNFC,mug,4
2,CB,CB7,Color,ArtifactNFC,book,4
2,CB,CB7,Color,ArtifactNFC,purse,3
2,CB,CB7,Color,ArtifactFC,crayon,3
2,CB,CB7,Color,ArtifactNFC,lunch box,4
2,CB,CB7,Color,ArtifactNFC,suitcase,4
2,CB,CB7,Color,ArtifactNFC,couch,4
2,CB,CB7,Color,ArtifactNFC,shoes,3
2,CB,CB7,Color,ArtifactNFC,vacuum,6
2,CB,CB7,Function,Natural,wood,3
2,CB,CB7,Function,Natural,rock,4
2,CB,CB7,Function,Natural,mud,6
2,CB,CB7,Function,Natural,gold,6
2,CB,CB7,Function,Natural,grass,3
2,CB,CB7,Function,Natural,leaf,4
2,CB,CB7,Function,Natural,tree bark,4
2,CB,CB7,Function,Natural,water,5
2,CB,CB7,Function,Natural,dirt,3
2,CB,CB7,Function,Natural,flower,4
2,CB,CB7,Function,Artifact,hole puncher,7
2,CB,CB7,Function,Artifact,stapler,7
2,CB,CB7,Function,Artifact,hammer,6
2,CB,CB7,Function,Artifact,drill,6
2,CB,CB7,Function,Artifact,iron,7
2,CB,CB7,Function,Artifact,toaster,7
2,CB,CB7,Function,Artifact,coffee maker,7
2,CB,CB7,Function,Artifact,bed,6
2,CB,CB7,Function,Artifact,pencil,7
2,CB,CB7,Function,Artifact,bathtub,7
2,CB,CB7,Filler,Natural,dog,3
2,CB,CB7,Filler,Natural,pumpkin,3
2,CB,CB7,Filler,Natural,cucumber,3
2,CB,CB7,Filler,Natural,tree branch,3
2,CB,CB7,Filler,Natural,pebble,4
2,CB,CB7,Filler,Natural,seashell,4
2,CB,CB7,Filler,Natural,orange,5
2,CB,CB7,Filler,Natural,sand,5
2,CB,CB7,Filler,Natural,watermelon,3
2,CB,CB7,Filler,Natural,mouse,7
2,CB,CB7,Filler,Natural,acorn,5
2,CB,CB7,Filler,Natural,snake,6
2,CB,CB7,Filler,Natural,pineapple,6
2,CB,CB7,Filler,Artifact,chair,4
2,CB,CB7,Filler,Artifact,coffee table,6
2,CB,CB7,Filler,Artifact,knife,4
2,CB,CB7,Filler,Artifact,rug,5
2,CB,CB7,Filler,Artifact,coat,3
2,CB,CB7,Filler,Artifact,bowl,4
2,CB,CB7,Filler,Artifact,door,5
2,CB,CB8,Color,Natural,strawberry,6
2,CB,CB8,Color,Natural,banana,6
2,CB,CB8,Color,Natural,broccoli,7
2,CB,CB8,Color,Natural,lemon,5
2,CB,CB8,Color,Natural,coal,7
2,CB,CB8,Color,Natural,snow,6
2,CB,CB8,Color,Natural,flamingo,6
2,CB,CB8,Color,Natural,elephant,4
2,CB,CB8,Color,Natural,ruby,6
2,CB,CB8,Color,Natural,pearl,3
2,CB,CB8,Color,ArtifactFC,go traffic,7
2,CB,CB8,Color,ArtifactFC,fire truck,6
2,CB,CB8,Color,ArtifactFC,basketball,5
2,CB,CB8,Color,ArtifactFC,taxi cab,5
2,CB,CB8,Color,ArtifactFC,police uniform,6
2,CB,CB8,Color,ArtifactFC,dollar bill,7
2,CB,CB8,Color,ArtifactFC,tennis ball,3
2,CB,CB8,Color,ArtifactFC,chalkboard,6
2,CB,CB8,Color,ArtifactNFC,toilet,5
2,CB,CB8,Color,ArtifactFC,street sign,4
2,CB,CB8,Color,ArtifactNFC,pants,5
2,CB,CB8,Color,ArtifactNFC,mug,4
2,CB,CB8,Color,ArtifactNFC,book,5
2,CB,CB8,Color,ArtifactNFC,purse,4
2,CB,CB8,Color,ArtifactFC,crayon,4
2,CB,CB8,Color,ArtifactNFC,lunch box,3
2,CB,CB8,Color,ArtifactNFC,suitcase,5
2,CB,CB8,Color,ArtifactNFC,couch,5
2,CB,CB8,Color,ArtifactNFC,shoes,6
2,CB,CB8,Color,ArtifactNFC,vacuum,3
2,CB,CB8,Function,Natural,wood,3
2,CB,CB8,Function,Natural,rock,3
2,CB,CB8,Function,Natural,mud,3
2,CB,CB8,Function,Natural,gold,4
2,CB,CB8,Function,Natural,grass,5
2,CB,CB8,Function,Natural,leaf,3
2,CB,CB8,Function,Natural,tree bark,4
2,CB,CB8,Function,Natural,water,4
2,CB,CB8,Function,Natural,dirt,5
2,CB,CB8,Function,Natural,flower,5
2,CB,CB8,Function,Artifact,hole puncher,7
2,CB,CB8,Function,Artifact,stapler,7
2,CB,CB8,Function,Artifact,hammer,6
2,CB,CB8,Function,Artifact,drill,6
2,CB,CB8,Function,Artifact,iron,7
2,CB,CB8,Function,Artifact,toaster,7
2,CB,CB8,Function,Artifact,coffee maker,5
2,CB,CB8,Function,Artifact,bed,5
2,CB,CB8,Function,Artifact,pencil,6
2,CB,CB8,Function,Artifact,bathtub,5
2,CB,CB8,Filler,Natural,dog,4
2,CB,CB8,Filler,Natural,pumpkin,6
2,CB,CB8,Filler,Natural,cucumber,5
2,CB,CB8,Filler,Natural,tree branch,5
2,CB,CB8,Filler,Natural,pebble,4
2,CB,CB8,Filler,Natural,seashell,3
2,CB,CB8,Filler,Natural,orange,7
2,CB,CB8,Filler,Natural,sand,5
2,CB,CB8,Filler,Natural,watermelon,4
2,CB,CB8,Filler,Natural,mouse,5
2,CB,CB8,Filler,Natural,acorn,5
2,CB,CB8,Filler,Natural,snake,4
2,CB,CB8,Filler,Natural,pineapple,5
2,CB,CB8,Filler,Artifact,chair,4
2,CB,CB8,Filler,Artifact,coffee table,5
2,CB,CB8,Filler,Artifact,knife,4
2,CB,CB8,Filler,Artifact,rug,4
2,CB,CB8,Filler,Artifact,coat,3
2,CB,CB8,Filler,Artifact,bowl,4
2,CB,CB8,Filler,Artifact,door,3
2,CB,CB9,Color,Natural,strawberry,7
2,CB,CB9,Color,Natural,banana,7
2,CB,CB9,Color,Natural,broccoli,7
2,CB,CB9,Color,Natural,lemon,7
2,CB,CB9,Color,Natural,coal,1
2,CB,CB9,Color,Natural,snow,7
2,CB,CB9,Color,Natural,flamingo,1
2,CB,CB9,Color,Natural,elephant,1
2,CB,CB9,Color,Natural,ruby,7
2,CB,CB9,Color,Natural,pearl,1
2,CB,CB9,Color,ArtifactFC,go traffic,1
2,CB,CB9,Color,ArtifactFC,fire truck,7
2,CB,CB9,Color,ArtifactFC,basketball,7
2,CB,CB9,Color,ArtifactFC,taxi cab,1
2,CB,CB9,Color,ArtifactFC,police uniform,7
2,CB,CB9,Color,ArtifactFC,dollar bill,7
2,CB,CB9,Color,ArtifactFC,tennis ball,7
2,CB,CB9,Color,ArtifactFC,chalkboard,1
2,CB,CB9,Color,ArtifactNFC,toilet,1
2,CB,CB9,Color,ArtifactFC,street sign,7
2,CB,CB9,Color,ArtifactNFC,pants,1
