Object,Experiment,Kind,subjID,Rating
street sign,2,AritfactFC,s20,7
taxi cab,2,AritfactFC,s20,7
tennis ball,2,AritfactFC,s20,7
toilet,2,AritfactFC,s20,5
book,2,ArtifactNFC,s20,1
couch,2,ArtifactNFC,s20,1
crayon,2,ArtifactNFC,s20,7
lunch box,2,ArtifactNFC,s20,3
mug,2,ArtifactNFC,s20,1
pants,2,ArtifactNFC,s20,1
shoes,2,ArtifactNFC,s20,1
purse,2,ArtifactNFC,s20,1
suitcase,2,ArtifactNFC,s20,2
vacuum,2,ArtifactNFC,s20,1
coin,3,AritfactFC,s20,6
military uniform,3,AritfactFC,s20,7
paper,3,AritfactFC,s20,7
recycling bin,3,AritfactFC,s20,7
school bus,3,AritfactFC,s20,7
stop sign,3,AritfactFC,s20,7
wedding dress,3,AritfactFC,s20,7
car,3,ArtifactNFC,s20,1
cup,3,ArtifactNFC,s20,1
fork,3,ArtifactNFC,s20,1
laptop,3,ArtifactNFC,s20,1
pen,3,ArtifactNFC,s20,6
soap,3,ArtifactNFC,s20,1
table,3,ArtifactNFC,s20,1
towel,3,ArtifactNFC,s20,1
